Using cache found in /misc/vlgscratch4/LakeGroup/emin/robust_vision/pretrained_models/rwightman_gen-efficientnet-pytorch_master
Loaded model: tf_efficientnet_b6
Running white-box attacks with epsilon: 0.06 Number of PGD steps: 10
Iter, Clean, Clean_pred, Adv, Adv_pred:  0 0 394.0 142 142.0
Test: [    0/25000]	Time  2.800 ( 2.800)	Acc@1   0.00 (  0.00)
Iter, Clean, Clean_pred, Adv, Adv_pred:  1 0 0.0 756 756.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  2 0 0.0 212 212.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  3 0 0.0 510 510.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  4 0 0.0 198 198.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  5 0 133.0 528 528.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  6 0 0.0 865 865.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  7 0 0.0 832 832.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  8 0 0.0 227 227.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  9 0 0.0 474 474.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  10 0 0.0 575 575.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  11 0 0.0 865 865.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  12 0 0.0 331 331.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  13 0 0.0 972 972.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  14 0 0.0 357 357.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  15 0 0.0 18 18.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  16 0 0.0 972 972.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  17 0 0.0 493 493.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  18 0 0.0 383 383.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  19 0 0.0 528 528.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  20 0 0.0 735 735.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  21 0 0.0 841 841.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  22 0 0.0 156 156.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  23 0 0.0 833 833.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  24 0 0.0 394 394.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  25 1 1.0 877 877.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  26 1 1.0 101 101.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  27 1 1.0 415 415.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  28 1 1.0 33 33.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  29 1 1.0 507 507.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  30 1 1.0 497 497.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  31 1 1.0 860 860.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  32 1 1.0 245 245.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  33 1 1.0 803 803.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  34 1 1.0 51 51.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  35 1 1.0 461 461.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  36 1 1.0 295 295.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  37 1 1.0 812 812.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  38 1 1.0 767 767.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  39 1 1.0 311 311.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  40 1 1.0 944 944.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  41 1 1.0 137 137.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  42 1 1.0 748 748.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  43 1 1.0 91 91.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  44 1 1.0 165 165.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  45 1 1.0 430 430.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  46 1 1.0 212 212.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  47 1 1.0 614 614.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  48 1 1.0 377 377.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  49 1 1.0 559 559.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  50 2 2.0 8 8.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  51 2 2.0 758 758.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  52 2 2.0 336 336.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  53 2 2.0 663 663.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  54 2 2.0 548 548.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  55 2 2.0 129 129.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  56 2 2.0 437 437.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  57 2 2.0 246 246.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  58 2 2.0 29 29.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  59 2 2.0 722 722.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  60 2 2.0 209 209.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  61 2 2.0 857 857.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  62 2 2.0 447 447.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  63 2 2.0 107 107.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  64 2 2.0 181 181.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  65 2 3.0 152 152.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  66 2 2.0 701 701.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  67 2 2.0 835 835.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  68 2 2.0 399 399.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  69 2 2.0 929 929.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  70 2 2.0 439 439.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  71 2 2.0 160 160.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  72 2 2.0 832 832.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  73 2 2.0 455 455.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  74 2 2.0 522 522.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  75 3 3.0 653 653.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  76 3 3.0 631 631.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  77 3 3.0 630 630.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  78 3 3.0 330 330.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  79 3 3.0 478 478.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  80 3 3.0 464 464.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  81 3 3.0 95 95.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  82 3 147.0 662 662.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  83 3 5.0 232 232.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  84 3 3.0 571 571.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  85 3 3.0 598 598.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  86 3 3.0 834 834.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  87 3 3.0 913 913.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  88 3 3.0 76 76.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  89 3 3.0 921 921.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  90 3 3.0 580 580.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  91 3 3.0 211 211.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  92 3 3.0 449 449.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  93 3 3.0 776 776.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  94 3 3.0 327 327.0
Iter, Clean, Clean_pred, Adv, Adv_pred:  95 3 3.0 437 437.0
